Bang Kapi,1742447713,100.6309,13.7554,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Pathum Wan,1742447713,100.5342,13.7445,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Pom Prap Sattru Phai,1742447714,100.5097,13.7504,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phra Khanong,1742447714,100.6022,13.7088,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Min Buri,1742447715,100.755,13.8053,4,741.01,0.63,6.43,171.66,7.87,46.25,68.29,8.36
Lat Krabang,1742447716,100.7562,13.7262,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Yannawa,1742447716,100.5369,13.6896,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Samphanthawong,1742447716,100.5137,13.7408,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phaya Thai,1742447717,100.5385,13.7719,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Thon Buri,1742447717,100.4907,13.7229,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bangkok Yai,1742447718,100.4806,13.7314,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Huai Khwang,1742447718,100.5759,13.7788,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Khlong San,1742447719,100.5042,13.7348,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Taling Chan,1742447719,100.4429,13.7702,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bangkok Noi,1742447720,100.4735,13.7634,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Khun Thian,1742447720,100.4578,13.6703,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phasi Charoen,1742447721,100.4357,13.7214,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Nong Khaem,1742447721,100.3792,13.7153,5,2082.82,0.67,19.88,377.66,52.93,215.55,269.73,29.64
Rat Burana,1742447721,100.4925,13.6865,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Phlat,1742447722,100.5015,13.7951,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Din Daeng,1742447722,100.5562,13.7663,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bueng Kum,1742447723,100.6558,13.7895,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Sathon,1742447723,100.5289,13.7211,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Sue,1742447724,100.5297,13.8009,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Chatuchak,1742447724,100.5557,13.8166,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Prawet,1742447724,100.6698,13.7196,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Khlong Toei,1742447725,100.5582,13.7126,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Suan Luang,1742447725,100.6406,13.7212,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Chom Thong,1742447726,100.4674,13.6853,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Don Mueang,1742447727,100.5989,13.9125,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Ratchathewi,1742447727,100.5342,13.7547,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Lat Phrao,1742447728,100.5701,13.8078,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Watthana,1742447728,100.5847,13.7369,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Sai Mai,1742447729,100.6385,13.9248,4,741.01,0.63,6.43,171.66,7.87,46.25,68.29,8.36
Khan Na Yao,1742447729,100.6669,13.8159,4,741.01,0.63,6.43,171.66,7.87,46.25,68.29,8.36
Saphan Sung,1742447730,100.6726,13.761,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Wang Thonglang,1742447730,100.612,13.7889,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Khlong Sam Wa,1742447730,100.7351,13.8647,4,741.01,0.63,6.43,171.66,7.87,46.25,68.29,8.36
Phra Nakhon,1742447711,100.5018,13.7563,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Dusit,1742447711,100.5117,13.7842,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Nong Chok,1742447712,100.8659,13.8583,3,494,0.23,1.93,123.02,2.47,29.55,42.12,4.43
Bang Rak,1742447957,100.5283,13.7259,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Khen,1742447712,100.5843,13.8644,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Bang Kapi,1742447713,100.6309,13.7554,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Pathum Wan,1742447713,100.5342,13.7445,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Pom Prap Sattru Phai,1742447714,100.5097,13.7504,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phra Khanong,1742447714,100.6022,13.7088,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Min Buri,1742447715,100.755,13.8053,4,741.01,0.63,6.43,171.66,7.87,46.25,68.29,8.36
Lat Krabang,1742447716,100.7562,13.7262,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Yannawa,1742447716,100.5369,13.6896,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Samphanthawong,1742447716,100.5137,13.7408,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phaya Thai,1742447717,100.5385,13.7719,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Thon Buri,1742447717,100.4907,13.7229,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bangkok Yai,1742447718,100.4806,13.7314,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Huai Khwang,1742447718,100.5759,13.7788,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Khlong San,1742447719,100.5042,13.7348,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Taling Chan,1742447719,100.4429,13.7702,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bangkok Noi,1742447720,100.4735,13.7634,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Khun Thian,1742447720,100.4578,13.6703,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Phasi Charoen,1742447721,100.4357,13.7214,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Nong Khaem,1742447721,100.3792,13.7153,5,2082.82,0.67,19.88,377.66,52.93,215.55,269.73,29.64
Rat Burana,1742447721,100.4925,13.6865,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Phlat,1742447722,100.5015,13.7951,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Din Daeng,1742447722,100.5562,13.7663,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bueng Kum,1742447723,100.6558,13.7895,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Sathon,1742447723,100.5289,13.7211,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Bang Sue,1742447724,100.5297,13.8009,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Chatuchak,1742447724,100.5557,13.8166,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Prawet,1742447724,100.6698,13.7196,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Khlong Toei,1742447725,100.5582,13.7126,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Suan Luang,1742447725,100.6406,13.7212,4,1108.17,3.27,27.76,175.95,28.37,55.12,82.73,19.25
Chom Thong,1742447726,100.4674,13.6853,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
Don Mueang,1742447727,100.5989,13.9125,5,894.55,0.46,7.71,194.55,11.09,61.01,85.53,10.64
Ratchathewi,1742447727,100.5342,13.7547,5,1628.88,2.04,32.56,271.8,47.21,112.41,143.85,29.39
